what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1281226435253
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281226435474
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.200.v20100503,"org.eclipse.equinox.p2.updatesite",1281226442058
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1281226444073
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281226447163
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281226450439
started,bundle,org.eclipse.help.base,3.5.0.v201006080911,"org.eclipse.help.base",1281226455285
started,bundle,org.eclipse.help.ui,3.5.0.v20100517,"org.eclipse.help.ui",1281226455294
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1281226455551
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281226458867
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.help.aboutAction",1281226458893
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281226464197
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281226798713
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281226810037
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1281226819585
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1281226819657
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1281226819920
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1281226819922
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281226845414
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281226858565
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281226992852
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281226998551
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281227239896
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281227242234
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281227244303
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281227262695
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281227334644
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281227341318
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281227419981
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281227430671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281228534944
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281228536252
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281238910666
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1281238963358
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1281238963379
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281238964232
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281238995174
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281239002725
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281239124426
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281239139864
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281239191120
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1281239191149
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281239196540
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281239717794
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281239726144
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281240600410
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281240616088
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1281240623587
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1281240623724
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1281240623825
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281283263634
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281283268635
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281283271153
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281283276125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281283295172
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281283297240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281283403355
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281283405666
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281283407574
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281283407721
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1281283408206
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1281283408207
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1281283408207
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1281283408207
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1281283408207
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1281283408207
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1281283408207
stopped,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1281283408207
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1281283408207
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1281283408207
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1281283408242
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1281283408242
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1281283408243
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1281283408243
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1281283408243
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1281283408243
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1281283408243
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1281283408243
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1281283408243
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1281283408243
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1281283408243
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1281283408243
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1281283408243
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.resources.ui",1281283408243
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1281283408243
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1281283408244
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.help.ui",1281283408245
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1281283408245
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1281283408245
stopped,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1281283408246
stopped,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1281283408246
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1281283408246
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1281283408246
stopped,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1281283408305
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1281283408306
stopped,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1281283408316
stopped,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1281283408317
stopped,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1281283408317
stopped,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1281283408317
stopped,bundle,org.eclipse.wst.common.snippets,1.2.0.v201004290255,"org.eclipse.wst.common.snippets",1281283408317
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1281283408317
stopped,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1281283408318
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1281283436020
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1281283436021
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1281283436022
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1281283436022
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1281283436023
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1281283436023
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1281283436024
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1281283436024
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1281283436025
