what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286068133131
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1286068140905
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068140956
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068143780
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1286068147472
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286068147495
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1286068169105
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1286068169106
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1286068183352
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286068196360
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Suspend",1286068200499
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.DebugLast",1286068203810
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068203861
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068207130
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1286068227294
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286068232916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068238063
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068238073
opened,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068238154
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1286068238154
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.DebugLast",1286068250360
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068250416
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068254039
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286068254178
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1286068281178
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068281237
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068284448
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286068298851
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286068305356
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1286068421040
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068421101
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068425741
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286068444907
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068450868
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068450893
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1286068451039
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286068451066
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068552284
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068552410
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286068554624
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1286068562984
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068563040
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068566792
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068595997
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068608325
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068609108
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068609238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068614241
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068674376
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068680645
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286068736401
