what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1281327296465
closed,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.xml.XmlEditor",1281327296465
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1281327298944
opened,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1281327302960
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1281327303003
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281327307605
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1281327316681
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281327323401
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281327334302
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281327340161
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1281327340177
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281327343565
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281328916083
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281328917960
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281328956033
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281328958703
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281328971796
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281328977194
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329468422
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329471009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329474250
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1281329474257
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329480795
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329489064
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281329489149
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281329489246
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.navigate.open.type",1281329489278
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329498178
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329602133
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281329608468
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329612519
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329728794
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281329733844
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329748621
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329748799
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329755473
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329755607
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329778046
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281329778196
