what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724441095
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724547147
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724574252
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724592923
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1285724609475
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1285724618703
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724618834
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724621127
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724622044
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724623720
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285724626405
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285724645058
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1285724654759
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1285724663788
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724669291
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724669583
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724669762
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724774574
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285724775222
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.VariableView",1285724782897
opened,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1285724783162
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.TypeHierarchy",1285724783491
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1285724783679
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1285724803233
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1285724807594
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285724815692
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1285724819783
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285724821445
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1285724824045
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285724836113
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1285724849953
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285724851712
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1285724854689
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285724860383
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1285724867855
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724873869
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724877502
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1285724879972
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1285724886525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724895158
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724899804
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285724899874
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1285724902993
activated,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1285724934379
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1285724947489
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1285724956580
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285724963257
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724967324
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285724983073
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285724998063
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1285725003759
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285725008720
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285725035486
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285725097585
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285725153927
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1285725158947
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285725159179
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285725164034
error,log,,,"No command output when running: 'am start -n com.ajepst.callme/com.ajepst.callme.CallPicker -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device 0403632018011017",1285725178110
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285725596969
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285725665313
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285726507971
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285726508143
opened,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1285726509380
activated,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1285726509577
activated,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1285726511470
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285726517554
activated,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1285726518821
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285726518822
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285726520341
activated,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.layout.LayoutEditor",1285726559964
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285726574475
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285726576849
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285726577845
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285726658584
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285726665420
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285726668659
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285726679699
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285726784826
activated,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1285726795765
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1285726798480
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285726799640
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285726804415
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285726808422
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285726810419
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285726814210
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285726815889
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285726819422
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285727047365
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285727050404
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1285727085788
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285727091547
