what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281286324549
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286330471
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286352969
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1281286357978
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281286359719
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286370797
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286370848
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281286378617
started,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1281286380808
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286380973
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286383680
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.DebugLast",1281286383689
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286385130
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286433117
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1281286433127
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286434741
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286438358
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1281286438383
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286438581
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286442301
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286442392
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286465372
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286465503
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281286465567
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1281286465587
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286483010
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281286486017
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324498254
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324500956
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324504137
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1281324506387
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324519288
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324525338
started,bundle,org.eclipse.gef,3.6.0.v20100525-1225,"org.eclipse.gef",1281324530144
started,bundle,org.eclipse.draw2d,3.6.0.v20100525-1225,"org.eclipse.draw2d",1281324530207
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1281324531107
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1281324531504
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281324551801
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281324579002
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1281324596525
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281324596961
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1281324599787
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281324600337
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1281324604166
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1281324604735
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1281324605422
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324642951
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324649404
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281324652021
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324662173
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.showInformation",1281324662187
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324664386
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1281324666135
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1281324666337
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1281324666537
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281324668626
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1281324705664
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1281324706021
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281324709483
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281324728979
closed,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1281324728979
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1281324730614
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1281324736051
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1281324736157
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281324739799
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1281324742617
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281324742617
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1281324744355
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1281324744603
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1281324744682
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1281324751605
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1281324752924
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324755178
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324756291
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324756744
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324765840
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1281324768114
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1281324769207
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324769234
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1281324769262
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1281324769287
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1281324769292
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1281324769328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324769376
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1281324769390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324772014
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324774053
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324777167
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324780421
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1281324780463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324780476
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1281324780495
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324786818
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324788009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324788138
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324790829
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324806785
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281324812742
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324824203
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281324831345
